,América-MG,Atlético-MG,Atlético-PR,Bahia,Botafogo,Ceará,Chapecoense,Corinthians,Cruzeiro,Flamengo,Fluminense,Grêmio,Internacional,Palmeiras,Paraná,Santos,São Paulo,Sport,Vasco da Gama,Vitória
América-MG,-,1x3,3x1,,1x0,0x0,0x0,0x0,,2x2,0x0,,2x1,0x0,,,1x3,3x0,2x1,2x1
Atlético-MG,,-,3x1,,,2x1,3x3,1x0,1x0,0x1,5x2,,0x1,,2x0,3x1,1x0,5x2,0x0,2x1
Atlético-PR,4x0,1x2,-,2x0,,,5x1,,,3x0,3x1,2x1,2x2,1x3,3x0,2x0,0x1,,1x0,4x0
Bahia,1x0,2x2,0x0,-,3x3,,,1x0,,0x0,,0x2,0x1,1x1,,1x0,2x2,2x0,3x0,4x1
Botafogo,1x0,0x3,2x0,,-,0x0,1x0,,1x1,,2x1,2x1,,1x1,,0x0,2x2,2x0,1x1,1x1
Ceará,2x2,,0x0,0x2,,-,3x1,2x1,0x1,0x3,1x0,0x1,,2x2,,1x1,0x0,1x0,,2x0
Chapecoense,,1x0,2x1,1x1,,2x0,-,2x1,2x0,3x2,1x2,1x1,2x1,1x2,1x1,0x0,,,1x1,
Corinthians,1x0,1x1,0x0,,2x0,1x1,,-,2x0,0x3,2x1,0x1,1x1,1x0,1x0,1x1,,2x1,,0x0
Cruzeiro,3x1,0x0,2x1,1x1,1x0,,,,-,,2x1,0x1,0x0,1x0,,2x1,0x2,2x0,1x1,
Flamengo,2x0,2x1,,2x0,2x0,0x1,2x0,1x0,1x0,-,,,2x0,,2x0,,0x1,4x1,1x1,1x0
Fluminense,,,2x0,1x1,1x0,,3x1,1x0,1x0,0x2,-,0x1,0x3,1x0,4x0,0x1,1x1,,,0x0
Grêmio,1x0,2x0,0x0,2x2,4x0,3x2,,,1x1,2x0,0x0,-,0x0,0x2,2x0,5x1,2x1,,,4x0
Internacional,,,,2x0,3x0,1x0,3x0,2x1,0x0,2x1,,1x0,-,0x0,1x0,,,0x0,3x1,2x1
Palmeiras,,3x2,2x0,3x0,2x0,,0x0,1x0,3x1,1x1,,,1x0,-,3x0,,3x1,2x3,1x0,
Paraná,1x0,,0x0,1x0,1x1,0x1,1x1,0x4,1x1,,2x1,0x0,,,-,0x2,1x1,1x2,1x1,
Santos,0x1,,1x0,2x0,,2x0,,,0x1,1x1,,0x0,1x2,1x1,3x1,-,0x0,3x0,1x1,5x2
São Paulo,1x1,2x2,,1x0,3x2,1x0,2x0,3x1,,,1x1,,0x0,0x2,1x0,1x0,-,,2x1,3x0
Sport,0x2,3x2,1x0,2x0,1x1,,1x1,1x1,0x0,,1x2,0x0,2x1,0x1,1x0,,1x3,-,,
Vasco da Gama,4x1,2x1,,2x1,1x2,1x1,3x1,1x4,,1x1,1x1,1x0,,,1x0,0x3,,3x2,-,2x3
Vitória,1x0,1x0,,,3x4,2x1,1x0,,1x1,2x2,1x2,,2x3,0x3,1x0,0x1,,1x0,1x0,-
